url_length,domain_length,dot_count,hyphen_count,at_symbol,has_ip,https,digit_count,suspicious_words,subdomain_count,label
62,44,3,1,0,1,1,14,2,5,1
105,44,4,2,1,1,1,15,4,5,1
101,47,8,6,0,1,0,6,4,6,1
92,52,3,6,1,0,1,13,2,5,1
90,46,7,1,1,0,1,20,2,6,1
113,43,6,6,0,1,0,8,2,5,1
68,54,4,4,0,0,1,10,1,6,1
70,54,6,1,0,1,0,9,4,2,1
103,59,7,2,1,1,1,17,1,4,1
88,60,6,2,0,0,0,9,5,5,1
104,58,4,4,1,1,0,5,5,3,1
111,43,7,1,1,0,1,13,2,3,1
83,31,3,3,0,1,1,11,1,2,1
79,41,5,6,0,0,1,13,3,2,1
101,30,6,2,0,0,1,16,5,4,1
106,57,7,5,0,1,0,5,1,5,1
67,55,3,4,1,1,0,20,4,4,1
72,51,3,1,0,0,1,20,5,3,1
95,42,6,5,0,1,1,19,5,5,1
104,40,5,4,1,1,1,15,3,6,1
118,60,5,2,1,1,1,17,3,3,1
93,60,7,3,1,0,1,7,1,5,1
91,44,5,2,0,0,1,10,1,3,1
110,44,4,1,1,0,1,5,3,4,1
100,36,8,1,1,0,0,14,4,5,1
76,47,8,5,1,0,1,7,2,5,1
68,55,6,5,0,1,1,17,1,5,1
113,34,4,4,0,0,1,6,4,5,1
118,58,5,4,1,0,0,7,3,4,1
111,39,7,4,1,0,1,10,2,5,1
79,32,4,2,1,0,0,10,4,4,1
67,55,7,1,0,0,0,15,5,5,1
116,47,5,5,1,0,0,5,2,4,1
101,59,3,5,1,0,1,8,1,5,1
78,41,3,2,1,0,0,15,5,6,1
96,60,3,5,1,1,0,18,3,4,1
61,55,3,2,1,0,0,7,1,5,1
94,37,6,5,1,1,0,19,2,3,1
96,42,7,3,1,0,1,14,1,2,1
82,56,6,1,0,1,0,17,4,2,1
90,40,7,6,0,1,1,20,4,4,1
81,56,4,1,1,0,0,9,3,3,1
78,59,3,3,0,0,0,20,3,6,1
64,38,7,1,1,0,1,17,5,2,1
103,32,7,6,1,0,1,16,3,3,1
83,52,7,2,1,0,0,13,3,4,1
92,45,7,4,0,1,1,12,1,5,1
96,45,8,1,0,1,1,13,1,4,1
102,49,5,6,1,1,1,8,2,6,1
69,51,6,4,1,0,1,11,2,5,1
69,38,3,3,0,1,1,12,1,3,1
114,53,7,6,1,1,1,15,4,4,1
97,50,8,6,0,0,0,17,3,2,1
68,45,8,5,0,1,0,8,3,6,1
119,48,4,5,0,1,1,19,3,5,1
108,42,7,2,0,0,0,14,1,2,1
107,47,3,2,0,0,0,20,4,5,1
85,44,3,2,1,1,1,10,2,2,1
71,32,5,1,0,0,1,9,1,4,1
85,53,4,5,1,1,0,11,1,4,1
107,37,7,6,0,0,0,19,1,3,1
89,33,4,2,1,0,1,17,4,6,1
83,30,7,3,1,1,1,16,5,3,1
99,57,5,4,1,1,1,10,5,6,1
99,40,4,1,0,0,1,16,2,4,1
99,54,3,3,1,1,0,11,1,5,1
70,31,3,2,0,1,1,16,5,6,1
92,42,7,2,0,0,1,8,4,3,1
96,40,8,6,1,1,0,6,1,4,1
72,59,4,4,0,0,0,20,3,6,1
103,34,5,2,1,0,1,14,4,2,1
113,50,8,4,1,0,0,13,5,4,1
118,54,4,2,1,1,1,9,5,5,1
101,41,6,3,0,0,1,13,3,3,1
113,46,5,3,1,0,0,12,4,4,1
88,56,7,2,0,1,0,12,5,3,1
95,54,4,6,1,0,0,19,2,3,1
88,34,6,6,1,0,0,13,5,2,1
69,33,7,4,0,0,0,19,5,5,1
81,41,4,2,0,1,0,11,2,3,1
67,59,3,2,0,1,0,9,4,6,1
65,53,4,6,0,1,1,12,1,5,1
86,35,3,1,1,1,0,11,4,5,1
110,59,5,1,1,1,0,10,4,2,1
104,51,6,3,1,1,0,20,3,3,1
66,55,8,6,1,1,0,9,5,5,1
65,33,5,1,1,0,1,17,2,5,1
108,35,8,3,0,1,0,8,2,2,1
88,54,4,4,1,0,1,17,1,5,1
72,58,8,2,1,0,1,7,2,2,1
95,57,3,4,0,1,0,14,5,4,1
99,35,4,1,1,1,0,10,4,2,1
67,35,3,3,0,0,0,14,2,2,1
110,49,5,6,1,0,0,18,4,6,1
81,45,6,5,1,0,1,19,2,2,1
71,33,3,1,0,0,1,18,1,3,1
87,40,4,3,1,0,1,19,4,3,1
60,56,4,4,1,0,0,14,5,5,1
89,40,5,3,1,1,0,6,3,6,1
66,50,7,1,0,0,1,7,4,3,1
63,41,5,5,0,1,0,14,1,6,1
85,49,7,2,0,1,0,19,1,4,1
73,58,3,6,1,0,1,20,4,2,1
66,60,6,1,1,0,1,19,5,4,1
61,37,5,6,1,1,0,5,5,4,1
104,37,4,5,0,1,0,7,4,3,1
105,45,7,2,1,0,0,12,4,6,1
66,46,5,2,1,0,0,13,2,6,1
94,39,6,6,1,1,0,16,1,4,1
87,32,7,3,1,0,0,14,1,6,1
83,39,4,5,1,1,0,9,2,6,1
62,57,5,1,1,0,0,5,5,5,1
72,55,7,1,1,0,1,18,2,5,1
82,41,4,3,1,0,0,20,5,6,1
90,37,6,5,0,1,0,13,1,4,1
82,45,3,1,0,0,1,8,5,3,1
62,42,6,3,1,1,0,14,3,6,1
104,46,6,6,0,1,0,5,1,4,1
99,31,3,1,1,1,1,11,3,5,1
78,49,5,5,0,0,1,20,4,3,1
61,49,7,3,0,1,1,17,4,3,1
93,55,4,3,0,0,1,20,1,2,1
74,55,6,2,1,1,1,5,3,2,1
97,32,4,1,1,0,0,8,4,2,1
78,35,5,6,1,1,0,13,4,5,1
94,52,3,5,1,1,0,13,2,4,1
71,48,4,6,1,1,1,6,1,6,1
68,54,7,4,0,0,1,9,4,6,1
77,51,7,5,1,1,0,14,1,5,1
116,41,4,2,0,1,1,16,2,2,1
67,57,4,2,0,0,0,5,3,5,1
60,54,5,2,1,0,0,8,2,4,1
110,45,8,2,0,1,1,8,2,3,1
85,57,3,2,0,1,0,6,2,2,1
101,47,5,2,0,0,0,6,5,4,1
63,56,3,5,0,1,0,13,1,6,1
113,56,7,3,0,1,1,19,4,4,1
107,58,7,5,0,1,1,8,1,4,1
89,39,7,6,1,1,0,7,1,2,1
106,56,6,2,0,1,1,5,1,4,1
96,46,7,1,0,0,0,16,5,6,1
113,33,5,4,1,0,1,15,4,4,1
64,30,8,5,0,1,0,12,1,6,1
113,48,7,6,0,1,1,19,1,4,1
85,44,4,2,0,0,0,13,4,4,1
114,31,6,2,0,0,1,14,2,3,1
83,34,3,2,1,1,1,14,1,5,1
112,32,6,1,1,0,1,7,3,4,1
65,35,6,2,0,0,0,20,5,5,1
73,34,3,6,0,1,1,16,4,2,1
64,38,8,6,0,1,0,15,1,3,1
79,59,3,3,0,1,0,9,5,3,1
63,35,8,1,0,0,1,18,4,6,1
83,55,7,2,0,0,0,16,5,6,1
69,34,3,6,1,0,0,18,2,2,1
73,55,8,6,0,1,1,5,3,3,1
111,30,7,2,0,0,1,12,1,5,1
108,34,3,5,0,0,0,11,2,3,1
66,52,6,2,1,0,0,11,2,4,1
91,37,8,4,1,0,1,7,5,3,1
93,47,5,3,1,0,1,20,5,6,1
83,51,5,2,0,1,1,14,1,5,1
95,38,3,3,0,1,0,14,2,2,1
93,44,3,6,1,1,1,10,2,5,1
110,55,4,1,0,1,0,14,4,3,1
86,56,4,6,0,1,1,19,5,3,1
73,56,3,6,0,0,1,5,5,4,1
108,39,7,2,1,0,0,14,3,6,1
100,35,5,2,1,1,0,7,5,4,1
108,40,8,1,0,0,1,9,1,2,1
66,52,8,1,1,0,1,8,2,3,1
81,51,4,5,1,1,1,7,3,2,1
67,50,4,2,0,0,1,15,5,6,1
120,50,8,3,0,0,0,8,4,5,1
115,46,4,5,1,0,1,14,5,3,1
71,54,3,2,1,1,1,15,5,5,1
96,54,3,2,1,1,1,19,3,2,1
77,44,7,3,0,0,0,19,1,3,1
66,33,8,1,1,0,0,19,5,6,1
77,56,8,1,1,1,0,14,5,6,1
117,51,3,3,1,0,1,17,3,3,1
112,47,6,3,1,0,1,14,3,2,1
70,35,7,4,0,0,1,20,1,5,1
101,56,8,6,1,1,0,16,3,6,1
118,32,6,1,0,1,0,15,5,5,1
113,53,7,5,1,1,1,14,1,4,1
94,50,8,2,1,1,0,14,4,5,1
85,49,5,4,1,1,0,8,1,4,1
94,49,3,1,0,0,1,18,1,6,1
87,32,7,5,0,0,1,5,5,3,1
68,34,4,4,1,1,0,18,2,3,1
104,30,8,1,0,0,1,11,2,4,1
88,57,7,1,1,0,0,18,2,3,1
60,32,3,2,1,1,1,18,3,6,1
85,49,4,2,0,1,0,10,2,6,1
119,30,4,1,1,0,1,5,3,4,1
108,53,7,1,0,1,0,20,3,4,1
76,40,7,1,0,0,0,14,5,2,1
66,50,3,3,0,1,0,12,5,2,1
87,41,3,4,0,0,0,7,5,2,1
103,30,8,6,0,0,0,19,1,3,1
69,41,5,6,0,0,0,15,5,5,1
93,53,5,3,1,0,0,19,1,2,1
104,52,7,5,0,1,1,18,4,2,1
103,44,4,6,1,1,0,5,2,3,1
80,31,8,1,1,1,1,20,2,3,1
104,54,4,4,0,1,1,8,1,4,1
114,52,3,1,1,0,0,6,2,6,1
100,32,7,3,0,0,1,6,3,3,1
116,34,8,2,0,1,1,19,4,4,1
99,34,7,5,0,0,1,15,3,6,1
94,53,4,6,0,0,1,12,2,6,1
94,49,7,3,1,0,1,9,5,5,1
109,45,6,1,0,0,0,15,1,2,1
78,42,6,1,0,0,0,8,4,4,1
73,35,7,3,1,1,1,7,3,6,1
92,56,7,3,0,0,1,12,2,6,1
66,38,8,2,0,1,0,10,4,4,1
120,44,5,3,1,1,0,17,1,4,1
66,35,4,1,1,1,0,10,2,3,1
117,30,7,6,0,0,1,8,1,3,1
94,31,3,4,1,1,0,20,5,5,1
116,50,4,3,1,1,0,17,3,3,1
107,46,7,4,1,1,1,5,2,5,1
80,38,5,5,0,1,0,5,5,6,1
80,46,4,1,1,1,1,11,1,5,1
78,34,6,5,0,1,0,6,1,3,1
115,48,4,4,1,0,1,17,3,5,1
113,34,7,5,1,1,1,10,4,3,1
99,52,5,3,1,1,1,11,3,3,1
100,57,8,6,1,0,0,7,1,3,1
108,45,5,1,1,0,1,6,3,6,1
112,59,8,3,0,0,1,6,3,2,1
86,55,5,1,0,0,1,20,5,4,1
78,52,7,2,1,1,1,9,1,4,1
65,35,8,5,0,0,0,18,3,4,1
117,42,5,4,1,0,0,6,3,2,1
82,58,7,2,1,0,0,7,2,6,1
86,37,4,5,1,1,0,12,4,6,1
77,37,6,1,0,1,1,8,1,4,1
98,30,7,6,1,0,1,13,5,6,1
70,51,6,1,1,0,0,14,4,2,1
118,33,5,5,1,0,1,18,3,5,1
104,60,4,1,1,0,1,17,5,6,1
76,57,3,5,1,1,1,5,2,5,1
90,55,4,3,1,0,0,15,3,5,1
67,34,3,2,0,0,1,18,3,5,1
105,52,7,5,0,1,1,19,4,5,1
74,31,6,4,1,0,1,9,1,6,1
105,30,3,1,1,0,0,16,1,2,1
68,30,7,2,0,1,0,10,1,3,1
112,32,7,1,1,0,0,14,3,5,1
75,52,4,6,1,0,1,8,1,5,1
98,53,7,3,1,1,0,5,2,2,1
78,51,7,6,0,0,1,20,1,6,1
101,30,4,3,1,1,1,19,4,2,1
91,55,4,3,1,0,0,9,4,3,1
72,59,8,3,1,1,0,10,4,5,1
104,30,4,2,1,1,1,10,1,6,1
67,35,8,2,0,0,0,5,3,4,1
80,34,3,1,1,1,1,17,2,4,1
100,42,4,3,0,1,0,20,2,4,1
115,37,6,4,0,1,1,12,3,3,1
119,32,8,2,1,1,1,11,2,4,1
65,48,4,3,0,1,1,11,3,2,1
109,42,4,3,1,1,0,16,1,6,1
103,38,6,4,1,0,0,19,1,6,1
84,43,6,2,1,0,0,5,1,2,1
114,48,7,6,1,0,0,6,1,5,1
101,37,7,4,1,1,0,19,2,4,1
82,47,4,3,0,1,0,9,4,5,1
116,45,7,6,1,1,0,9,3,5,1
78,40,8,5,1,1,1,10,5,3,1
97,37,3,2,0,1,1,6,5,3,1
82,53,7,4,1,1,1,6,3,2,1
74,37,8,1,1,0,0,16,2,5,1
62,58,4,2,0,0,1,10,5,2,1
93,38,8,2,0,1,1,11,2,5,1
94,39,3,3,0,1,1,7,2,4,1
64,34,7,2,0,0,0,16,1,3,1
101,34,5,3,0,1,1,17,4,4,1
106,57,7,6,0,1,0,13,4,4,1
97,54,8,4,0,0,0,7,5,4,1
67,47,8,1,1,0,0,14,3,4,1
87,48,8,2,1,0,0,9,3,3,1
80,36,3,6,0,1,0,9,4,5,1
91,53,8,2,0,0,0,18,2,4,1
98,50,8,2,1,0,0,17,4,4,1
90,45,7,1,1,1,0,13,1,2,1
120,30,7,2,0,1,1,8,4,6,1
116,60,7,3,1,0,0,8,2,2,1
66,57,8,5,1,1,0,17,1,5,1
72,53,7,2,0,1,0,6,2,3,1
94,42,8,6,0,1,0,5,4,6,1
97,43,8,1,0,0,0,14,3,2,1
65,47,6,6,1,0,1,8,3,2,1
77,45,5,2,0,1,1,7,4,3,1
86,48,4,5,1,1,0,9,5,5,1
89,49,4,6,1,1,1,18,3,3,1
101,50,7,6,0,1,1,7,3,5,1
60,49,3,1,0,1,1,5,2,5,1
97,50,3,4,0,0,1,12,1,4,1
87,43,3,4,0,1,0,5,3,2,1
61,48,4,6,1,0,0,16,4,3,1
61,41,7,4,1,0,1,14,5,5,1
108,30,3,2,1,1,1,14,3,2,1
104,44,7,4,0,0,1,15,4,2,1
83,59,6,3,0,1,0,19,4,3,1
98,32,7,6,1,1,1,7,5,2,1
100,34,8,3,0,1,0,19,2,2,1
93,48,5,2,1,0,0,17,3,3,1
111,43,8,3,1,1,1,11,4,2,1
104,53,4,6,0,1,0,15,4,4,1
107,40,3,5,0,1,0,15,5,2,1
60,35,3,4,0,0,0,10,3,4,1
94,44,8,2,0,1,1,10,2,3,1
91,54,5,1,0,1,1,20,5,6,1
61,45,7,2,0,0,0,7,3,3,1
94,30,5,1,0,0,0,18,1,4,1
83,47,8,2,0,0,1,13,1,3,1
115,54,3,5,1,0,1,8,2,3,1
78,47,6,4,1,0,0,16,5,3,1
103,55,8,4,0,0,1,8,4,3,1
109,48,7,1,0,1,1,12,1,2,1
64,40,4,1,0,0,1,5,1,5,1
63,33,3,5,0,0,0,19,1,6,1
104,55,8,3,0,1,1,19,4,4,1
107,40,7,5,0,0,0,6,1,2,1
81,56,3,2,0,0,0,18,3,4,1
83,38,6,3,1,0,1,17,3,5,1
102,40,7,6,1,0,1,6,2,2,1
91,32,8,4,0,0,1,13,3,2,1
119,53,3,4,1,0,1,16,2,4,1
112,49,6,5,1,1,1,8,2,5,1
108,45,5,6,1,1,1,14,1,3,1
71,59,7,2,1,0,1,20,4,3,1
92,38,3,1,1,0,1,18,4,2,1
74,32,7,3,1,0,1,6,4,3,1
115,51,3,2,0,0,0,11,4,6,1
95,35,5,5,1,1,0,10,2,4,1
80,49,6,4,0,1,1,16,4,3,1
120,49,7,1,1,0,0,17,4,5,1
80,55,5,1,0,0,0,11,4,3,1
99,36,4,6,1,0,0,15,2,4,1
86,41,6,4,1,0,0,7,3,2,1
64,52,7,2,0,1,0,7,4,2,1
108,57,5,6,0,0,0,11,2,3,1
90,44,8,1,0,0,1,16,2,6,1
104,52,5,3,1,0,1,17,3,4,1
111,54,3,5,0,0,1,19,4,2,1
105,52,5,2,0,1,0,11,4,3,1
114,31,7,5,0,1,1,12,5,2,1
76,31,5,4,0,1,1,16,5,6,1
84,53,7,4,0,1,0,13,1,4,1
113,41,5,2,0,0,1,12,1,3,1
68,54,3,6,1,1,0,19,1,5,1
75,47,5,5,1,1,1,13,2,6,1
83,48,7,2,1,0,0,8,1,2,1
93,39,4,4,1,0,1,9,5,2,1
113,46,4,5,0,1,1,8,5,5,1
96,60,7,5,0,0,0,20,4,3,1
60,53,7,2,0,0,0,18,3,5,1
76,35,5,3,1,1,0,7,1,5,1
70,47,7,4,1,0,0,18,2,4,1
72,38,7,6,1,1,0,9,4,5,1
102,35,7,6,1,0,0,8,2,5,1
82,36,7,3,0,0,1,14,3,5,1
119,32,6,6,1,1,1,17,4,5,1
85,43,8,1,1,1,0,9,2,3,1
61,51,5,1,0,1,1,18,3,4,1
116,56,5,3,1,0,0,7,2,2,1
82,43,7,6,1,0,1,12,3,6,1
95,56,7,3,1,0,0,13,1,4,1
120,57,5,5,0,1,0,13,4,5,1
68,34,8,5,0,0,0,16,2,2,1
60,45,5,2,0,0,0,20,2,6,1
88,45,3,1,0,0,1,12,1,3,1
105,54,5,3,0,0,1,8,1,4,1
74,56,7,2,1,0,0,7,5,4,1
80,54,6,6,0,1,0,8,3,4,1
86,34,3,3,1,1,0,19,2,4,1
84,42,3,6,1,0,0,5,3,6,1
104,58,5,3,0,0,0,11,5,4,1
63,51,3,3,1,0,0,16,1,5,1
97,30,8,2,0,1,1,17,4,4,1
108,48,4,6,1,0,0,5,4,3,1
100,59,7,1,0,0,0,18,2,5,1
92,60,8,4,0,1,0,12,1,5,1
90,53,6,3,0,1,1,6,1,6,1
71,40,5,5,1,1,0,7,4,5,1
65,60,5,4,0,1,1,11,2,5,1
90,49,6,2,0,1,1,19,2,4,1
73,60,8,5,0,0,0,11,1,4,1
91,57,5,6,0,1,1,18,2,2,1
79,57,4,2,0,0,1,11,3,5,1
78,55,4,1,1,0,0,11,1,4,1
103,60,6,5,0,0,0,17,2,6,1
117,39,6,5,1,1,1,19,3,3,1
120,50,6,4,0,1,0,8,2,5,1
79,54,3,5,1,0,1,11,2,5,1
66,31,7,3,0,0,0,19,5,5,1
85,51,7,1,1,1,0,16,2,5,1
67,60,8,6,1,0,1,11,2,4,1
111,33,6,2,0,1,1,14,1,2,1
102,47,8,4,0,0,1,20,3,5,1
75,33,8,1,0,1,1,16,2,2,1
113,48,7,1,1,0,0,10,5,2,1
